Name of Institution,JAMB CUTOFF MARK
"ABIA STATE UNIVERSITY, UTURU, ABIA STATE",160
"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI, BAUCHI STATE",180
"ACHIEVERS UNIVERSITY OWO, ONDO STATE",160
"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",160
"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",180
"ADELEKE UNIVERSITY, EDE, OSUN STATE",160
"ADMIRALTY UNIVERSITYOF NIGERIA,IBUSA, DELTA STATE",160
"AFE BABALOLA UNIVERSITY, ADO-EKITI, EKITI STATE",180
"AHMADU BELLO UNIVERSITY, ZARIA, KADUNA STATE",160
"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",160
"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",160
"AL- HIKMAH UNIVERSITY, ILORIN, KWARA STATE",160
"ALEX EKWUEME FEDERAL UNIVERSITY, NDUFU-ALIKE, EBONYI STATE",180
"AL-QALAM UNIVERSITY, KATSINA, KATSINA STATE",160
"AMBROSE ALLI UNIVERSITY, EKPOMA, EDO STATE",180
"AMERICAN UNIVERSITY OF NIGERIA, YOLA, ADAMAWA STATE",160
"ANCHOR UNIVERSITY, AYOBO, LAGOS STATE.",180
"ARTHUR JARVIS UNIVERSITY, AKPABUYO, CROSS RIVER STATE.",160
"ATIBA UNIVERSITY, OYO, OYO STATE",160
"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",180
"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",160
"BAPTIST COLLEGE OF THEOLOGY, BENIN CITY, EDO STATE (AFFL TO
AMBROSE ALLI UNIV)",180
"BAPTIST COLLEGE OF THEOLOGY, OBINZE, OWERRI (AFFL TO UNIV OF
PORT HARCOURT)",160
"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",160
"BAYELSA MEDICAL UNIVERSITY, YENAGOA",180
"BAYERO UNIVERSITY, KANO, KANO STATE",180
"BAZE UNIVERSITY, ABUJA, FCT",160
"BELLS UNIVERSITY OF TECHNOLOGY, OTA, OGUN STATE",160
"BENSON IDAHOSA UNIVERSITY, BENIN CITY, EDO STATE",160
"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",180
"BIGARD MEMORIAL SEMINARY, ENUGU. (AFFLIATED TO UNIVERSITY OF
IBADAN, OYO STATE)",200
"BINGHAM UNIVERSITY, KARU, NASARAWA STATE",160
"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",160
"BOWEN UNIVERSITY, IWO, OSUN STATE",160
"CALEB UNIVERSITY, IMOTA, LAGOS STATE",160
"CARITAS UNIVERSITY, AMORJI-NIKE, ENUGU, ENUGU STATE",160
"CHRISLAND UNIVERSITY, OWODE, OGUN STATE",160
"CHRISTOPHER UNIVERSITY, MOWE, OGUN STATE",160
"CHUKWUEMEKA ODUMEGWU OJUKWU UNIVERSITY, ULI, ANAMBRA
STATE",160
"CLARETIAN INSTITUTE OF PHILOSOPHY, NEKEDE, IMO STATE (AFFL TO
IMO STATE UNIVERSITY)",180
"CLIFFORD UNIVERSITY, OWERRINTTA, ABIA STATE.",160
"COAL CITY UNIVERSITY, ENUGU, ENUGU STATE.",160
"COLLEGE OF ARABIC AND ISLAMIC LEGAL STUDIES, ILORIN. (AFFL TO
BAYERO UNIV, KANO)",160
"COLLEGE OF EDUCATION, MOSOGAR, DELTA STATE. (AFFL TO DELTA
STATE UNIV, ABRAKA)",170
"COVENANT UNIVERSITY, CANAAN LAND, OTA, OGUN STATE",200
"CRESCENT UNIVERSITY, ABEOKUTA, OGUN STATE",160
"CROSS RIVERS UNIVERSITY OF TECHNOLOGY, CALABAR, CROSS RIVERS
STATE",160
"CROWFORD UNIVERSITY OF APOSTOLIC FAITH MISSION FAITH CITY,
IGBESA, OGUN STATE",160
"CROWN HILL UNIVERSITY, EIYENKORIN, KWARA STATE.",160
"DELTA STATE UNIVERSITY, ABRAKA, DELTA STATE",170
"DOMINICAN UNIVERSITY, IBADAN, OYO STATE.",160
